t,if,il,vl
1.4700,10.0000,6.8750,3.1250
1.4800,10.0000,6.9061,3.0939
1.4900,10.0000,6.9369,3.0631
1.5000,10.0000,6.9673,3.0327
1.5100,10.0000,6.9975,3.0025
1.5200,10.0000,7.0274,2.9726
1.5300,10.0000,7.0570,2.9430
1.5400,10.0000,7.0863,2.9137
1.5500,10.0000,7.1153,2.8847
1.5600,10.0000,7.1440,2.8560
1.5700,10.0000,7.1724,2.8276
1.5800,10.0000,7.2005,2.7995
1.5900,10.0000,7.2284,2.7716
1.6000,10.0000,7.2559,2.7441
1.6100,10.0000,7.2832,2.7168
1.6200,10.0000,7.3103,2.6897
1.6300,10.0000,7.3370,2.6630
1.6400,10.0000,7.3635,2.6365
1.6500,10.0000,7.3898,2.6102
1.6600,10.0000,7.4157,2.5843
1.6700,10.0000,7.4415,2.5585
1.6800,10.0000,7.4669,2.5331
1.6900,10.0000,7.4921,2.5079
1.7000,10.0000,7.5171,2.4829
1.7100,10.0000,7.5418,2.4582
1.7200,10.0000,7.5662,2.4338
1.7300,10.0000,7.5905,2.4095
1.7400,10.0000,7.6144,2.3856
1.7500,10.0000,7.6382,2.3618
1.7600,10.0000,7.6617,2.3383
1.7700,10.0000,7.6849,2.3151
1.7800,10.0000,7.7080,2.2920
1.7900,10.0000,7.7308,2.2692
1.8000,10.0000,7.7534,2.2466
1.8100,10.0000,7.7757,2.2243
1.8200,10.0000,7.7978,2.2022
1.8300,10.0000,7.8198,2.1802
1.8400,10.0000,7.8414,2.1586
1.8500,10.0000,7.8629,2.1371
1.8600,10.0000,7.8842,2.1158
1.8700,10.0000,7.9052,2.0948
1.8800,10.0000,7.9261,2.0739
1.8900,10.0000,7.9467,2.0533
1.9000,10.0000,7.9672,2.0328
1.9100,10.0000,7.9874,2.0126
1.9200,10.0000,8.0074,1.9926
1.9300,10.0000,8.0272,1.9728
1.9400,10.0000,8.0469,1.9531
1.9500,10.0000,8.0663,1.9337
1.9600,10.0000,8.0855,1.9145
1.9700,10.0000,8.1046,1.8954
1.9800,10.0000,8.1234,1.8766
1.9900,10.0000,8.1421,1.8579
2.0000,10.0000,8.1606,1.8394
2.0100,10.0000,8.1789,1.8211
2.0200,10.0000,8.1970,1.8030
2.0300,10.0000,8.2150,1.7850
2.0400,10.0000,8.2327,1.7673
2.0500,10.0000,8.2503,1.7497
2.0600,10.0000,8.2677,1.7323
2.0700,10.0000,8.2850,1.7150
2.0800,10.0000,8.3020,1.6980
2.0900,10.0000,8.3189,1.6811
2.1000,10.0000,8.3356,1.6644
2.1100,10.0000,8.3522,1.6478
2.1200,10.0000,8.3686,1.6314
2.1300,10.0000,8.3848,1.6152
2.1400,10.0000,8.4009,1.5991
2.1500,10.0000,8.4168,1.5832
2.1600,10.0000,8.4326,1.5674
2.1700,10.0000,8.4482,1.5518
2.1800,10.0000,8.4636,1.5364
2.1900,10.0000,8.4789,1.5211
2.2000,10.0000,8.4940,1.5060
2.2100,10.0000,8.5090,1.4910
2.2200,10.0000,8.5238,1.4762
2.2300,10.0000,8.5385,1.4615
2.2400,10.0000,8.5531,1.4469
2.2500,10.0000,8.5675,1.4325
2.2600,10.0000,8.5817,1.4183
2.2700,10.0000,8.5958,1.4042
2.2800,10.0000,8.6098,1.3902
2.2900,10.0000,8.6236,1.3764
2.3000,10.0000,8.6373,1.3627
2.3100,10.0000,8.6509,1.3491
2.3200,10.0000,8.6643,1.3357
2.3300,10.0000,8.6776,1.3224
2.3400,10.0000,8.6908,1.3092
2.3500,10.0000,8.7038,1.2962
2.3600,10.0000,8.7167,1.2833
2.3700,10.0000,8.7295,1.2705
2.3800,10.0000,8.7421,1.2579
2.3900,10.0000,8.7546,1.2454
2.4000,10.0000,8.7670,1.2330
2.4100,10.0000,8.7793,1.2207
2.4200,10.0000,8.7914,1.2086
2.4300,10.0000,8.8035,1.1965
2.4400,10.0000,8.8154,1.1846
2.4500,10.0000,8.8271,1.1729
2.4600,10.0000,8.8388,1.1612
2.4700,10.0000,8.8504,1.1496
2.4800,10.0000,8.8618,1.1382
2.4900,10.0000,8.8731,1.1269
2.5000,10.0000,8.8843,1.1157
2.5100,10.0000,8.8955,1.1045
2.5200,10.0000,8.9064,1.0936
2.5300,10.0000,8.9173,1.0827
2.5400,10.0000,8.9281,1.0719
2.5500,10.0000,8.9388,1.0612
2.5600,10.0000,8.9493,1.0507
2.5700,10.0000,8.9598,1.0402
2.5800,10.0000,8.9701,1.0299
2.5900,10.0000,8.9804,1.0196
2.6000,10.0000,8.9905,1.0095
2.6100,10.0000,9.0006,0.9994
